12/30/16,7:00 PM,Anaheim at Vancouver,Rogers Arena - Vancouver - BC,FS-W /  SNP,12/30/16,10:00 PM
1/1/17,5:00 PM,Philadelphia at Anaheim,Honda Center - Anaheim - CA,CSN-PH /  PRIME,1/1/17,8:00 PM
1/4/17,7:30 PM,Detroit at Anaheim,Honda Center - Anaheim - CA,FS-W,1/4/17,10:30 PM
1/6/17,7:00 PM,Arizona at Anaheim,Honda Center - Anaheim - CA,FS-W,1/6/17,10:00 PM
1/8/17,5:00 PM,Minnesota at Anaheim,Honda Center - Anaheim - CA,NBCSN,1/8/17,8:00 PM
1/10/17,7:00 PM,Dallas at Anaheim,Honda Center - Anaheim - CA,FS-SW /  PRIME,1/10/17,10:00 PM
1/12/17,6:00 PM,Anaheim at Colorado,Pepsi Center - Denver - CO,PRIME /  ALT,1/12/17,10:00 PM
1/14/17,5:00 PM,Anaheim at Arizona,Gila River Arena - Glendale - AZ,PRIME,1/14/17,9:00 PM
1/15/17,6:00 PM,St Louis at Anaheim,Honda Center - Anaheim - CA,PRIME,1/15/17,9:00 PM
1/17/17,7:00 PM,Tampa Bay at Anaheim,Honda Center - Anaheim - CA,SUN /  PRIME,1/17/17,10:00 PM
1/19/17,7:00 PM,Colorado at Anaheim,Honda Center - Anaheim - CA,ALT2 /  PRIME,1/19/17,10:00 PM
1/21/17,6:00 PM,Anaheim at Minnesota,Xcel Energy Center - St. Paul - MN,PRIME /  FS-N,1/21/17,11:00 PM
1/23/17,5:00 PM,Anaheim at Winnipeg,MTS Centre - Winnipeg - MB,KCOP-13 /  TSN3,1/23/17,10:00 PM
1/25/17,7:00 PM,Edmonton at Anaheim,Honda Center - Anaheim - CA,PRIME,1/25/17,10:00 PM
1/31/17,7:00 PM,Colorado at Anaheim,Honda Center - Anaheim - CA,ALT /  PRIME,1/31/17,10:00 PM
2/3/17,4:30 PM,Anaheim at Florida,BB&T Center - Sunrise - FL,PRIME,2/3/17,10:30 PM
2/4/17,4:00 PM,Anaheim at Tampa Bay,Amalie Arena - Tampa - FL,PRIME /  SUN,2/4/17,10:00 PM
2/7/17,4:00 PM,Anaheim at Ny Rangers,Madison Square Garden - New York - NY,PRIME /  MSG,2/7/17,10:00 PM
2/9/17,4:00 PM,Anaheim at Buffalo,KeyBank Center - Buffalo - NY,PRIME /  MSG-B,2/9/17,10:00 PM
2/11/17,4:30 PM,Anaheim at Washington,Verizon Center - Washington - DC,FS-W /  CSN-DC,2/11/17,10:30 PM
2/14/17,6:00 PM,Anaheim at Minnesota,Xcel Energy Center - St. Paul - MN,PRIME /  FS-WI / FS-N+,2/14/17,10:00 PM
2/17/17,7:00 PM,Florida at Anaheim,Honda Center - Anaheim - CA,PRIME,2/17/17,10:00 PM
2/19/17,6:00 PM,Los Angeles at Anaheim,Honda Center - Anaheim - CA,FS-W /  PRIME,2/19/17,9:00 PM
2/20/17,6:00 PM,Anaheim at Arizona,Gila River Arena - Glendale - AZ,PRIME,2/20/17,10:00 PM
2/22/17,7:30 PM,Boston at Anaheim,Honda Center - Anaheim - CA,NESN /  PRIME,2/22/17,10:30 PM
2/25/17,1:00 PM,Anaheim at Los Angeles,STAPLES Center - Los Angeles - CA,PRIME /  FS-W,2/25/17,4:00 PM
3/3/17,7:00 PM,Toronto at Anaheim,Honda Center - Anaheim - CA,TSN4 /  FS-W,3/3/17,10:00 PM
3/5/17,5:00 PM,Vancouver at Anaheim,Honda Center - Anaheim - CA,SN /  PRIME,3/5/17,8:00 PM
3/7/17,7:00 PM,Nashville at Anaheim,Honda Center - Anaheim - CA,FS-TN /  PRIME,3/7/17,10:00 PM
3/9/17,5:30 PM,Anaheim at Chicago,United Center - Chicago - IL,KCOP-13 /  CSN-CH,3/9/17,10:30 PM
3/10/17,5:00 PM,Anaheim at St Louis,Scottrade Center - St. Louis - MO,PRIME,3/10/17,10:00 PM
3/12/17,6:30 PM,Washington at Anaheim,Honda Center - Anaheim - CA,CSN-DC /  PRIME,3/12/17,9:30 PM
3/15/17,7:00 PM,St Louis at Anaheim,Honda Center - Anaheim - CA,FS-W,3/15/17,10:00 PM
3/17/17,7:00 PM,Buffalo at Anaheim,Honda Center - Anaheim - CA,MSG-B /  PRIME,3/17/17,10:00 PM
3/18/17,7:30 PM,Anaheim at San Jose,SAP Center at San Jose - San Jose - CA,PRIME /  CSN-CA,3/18/17,10:30 PM
3/22/17,7:00 PM,Edmonton at Anaheim,Honda Center - Anaheim - CA,PRIME,3/22/17,10:00 PM
3/24/17,7:00 PM,Winnipeg at Anaheim,Honda Center - Anaheim - CA,TSN3 /  PRIME,3/24/17,10:00 PM
3/26/17,6:00 PM,Ny Rangers at Anaheim,Honda Center - Anaheim - CA,MSG /  PRIME,3/26/17,9:00 PM
3/28/17,7:00 PM,Anaheim at Vancouver,Rogers Arena - Vancouver - BC,PRIME /  SNP,3/28/17,10:00 PM
3/30/17,5:00 PM,Anaheim at Winnipeg,MTS Centre - Winnipeg - MB,FS-W /  TSN3,3/30/17,10:00 PM
4/1/17,7:00 PM,Anaheim at Edmonton,Rogers Place - Edmonton - AB,HNIC /  PRIME,4/1/17,11:00 PM
4/2/17,6:30 PM,Anaheim at Calgary,Scotiabank Saddledome - Calgary - AB,SN1 /  PRIME,4/2/17,10:30 PM
4/4/17,7:00 PM,Calgary at Anaheim,Honda Center - Anaheim - CA,SN1 /  PRIME,4/4/17,10:00 PM
4/6/17,7:00 PM,Chicago at Anaheim,Honda Center - Anaheim - CA,CSN-CH /  PRIME,4/6/17,10:00 PM
4/9/17,5:30 PM,Los Angeles at Anaheim,Honda Center - Anaheim - CA,FS-W /  PRIME,4/9/17,8:30 PM
